hgnc_id	uniprot_id
HGNC:26111	Q0P651
HGNC:11320	Q8IZP0
HGNC:24011	Q9NYB9
HGNC:29859	Q9P2A4
HGNC:17265	Q7Z7G0
HGNC:1364	Q9NX38
HGNC:76	P00519
HGNC:77	P42684
HGNC:78	O14639
HGNC:19195	Q6H8Q1
HGNC:29132	O94929
HGNC:79	P16442
HGNC:81	Q12979
HGNC:30655	Q8N0Z2
HGNC:21230	Q9P1F3
HGNC:25829	Q6UWZ7
HGNC:28975	Q15018
HGNC:17369	Q9ULW3
HGNC:18275	Q969K4
HGNC:23842	Q8N961
HGNC:23844	A6QL63
HGNC:82	P09110
HGNC:83	P42765
HGNC:84	Q13085
HGNC:85	O00763
HGNC:87	Q9UKU7
HGNC:21497	Q9H845
HGNC:21597	Q6JQN1
HGNC:30211	Q709F0
HGNC:88	P28330
HGNC:89	P11310
HGNC:90	P16219
HGNC:91	P45954
HGNC:92	P49748
HGNC:319	P16112
HGNC:16467	Q15027
HGNC:16469	Q15057
HGNC:16754	Q96P50
HGNC:93	P24752
HGNC:94	Q9BWD1
HGNC:15453	Q9H3P7
HGNC:23337	Q8NC06
HGNC:23338	Q5T8D3
HGNC:23339	Q9BR61
HGNC:17715	Q8N6N7
HGNC:23989	Q96QU6
HGNC:34391	Q4AC99
HGNC:25070	Q96AP0
HGNC:2707	P12821
HGNC:13557	Q9BYF1
HGNC:18356	Q8TDN7
HGNC:23675	Q5QJU3
HGNC:16066	Q9NUN7
HGNC:108	P22303
HGNC:17066	Q9UKV3
HGNC:4035	Q16570
HGNC:1565	O00590
HGNC:23692	P25106
HGNC:1611	Q9NPB9
HGNC:115	P53396
HGNC:19288	Q8TDX5
HGNC:117	P21399
HGNC:118	Q99798
HGNC:33904	A6NK06
HGNC:33128	Q86TX2
HGNC:18431	P49753
HGNC:19748	Q8N9L9
HGNC:33159	Q3I5F7
HGNC:24157	O00154
HGNC:15919	O14734
HGNC:17152	Q9Y305
HGNC:18156	Q8WXI4
HGNC:24436	Q8WYK0
HGNC:20999	Q9NPJ3
HGNC:119	Q15067
HGNC:120	Q99424
HGNC:121	O15254
HGNC:25621	Q9NUZ1
HGNC:122	P24666
HGNC:123	P11117
HGNC:125	P15309
HGNC:14376	Q9BZG2
HGNC:124	P13686
HGNC:29609	Q9NPH0
HGNC:33781	Q6ZNF0
HGNC:126	P10323
HGNC:17195	Q8NEB7
HGNC:127	P26436
HGNC:29567	Q96GR2
HGNC:24174	Q5FVE4
HGNC:26101	Q96CM8
HGNC:27288	Q4G176
HGNC:3569	P33121
HGNC:3570	O95573
HGNC:3571	O60488
HGNC:16526	Q9ULC5
HGNC:16496	Q9UKU0
HGNC:18049	Q08AH1
HGNC:32017	Q08AH3
HGNC:30931	Q68CK6
HGNC:10522	Q53FZ2
HGNC:32016	P0C7M7
HGNC:26060	Q6NUN0
HGNC:31665	Q6P461
HGNC:16091	Q9NUB1
HGNC:15814	Q9NR19
HGNC:24723	Q9H6R3
HGNC:129	P68133
HGNC:130	P62736
HGNC:132	P60709
HGNC:17780	Q562R1
HGNC:143	P68032
HGNC:144	P63261
HGNC:145	P63267
HGNC:24124	O96019
HGNC:160	O94805
HGNC:161	Q9Y615
HGNC:162	Q9Y614
HGNC:24018	Q9H568
HGNC:28494	Q8TC94
HGNC:16127	Q5JWF8
HGNC:24758	Q5BKX5
HGNC:163	P12814
HGNC:164	P35609
HGNC:165	Q08043
HGNC:166	O43707
HGNC:167	P61163
HGNC:168	P42025
HGNC:169	P61160
HGNC:170	P61158
HGNC:17256	Q9P1U1
HGNC:37282	Q9C0K3
HGNC:14671	Q9H9F9
HGNC:24025	Q9GZN1
HGNC:14672	Q9H981
HGNC:17372	Q9NZ32
HGNC:24027	Q8TDG2
HGNC:24026	Q8TDY3
HGNC:24022	Q9BYD9
HGNC:171	Q04771
HGNC:172	P36896
HGNC:18123	Q8NER5
HGNC:173	P27037
HGNC:174	Q13705
HGNC:175	P37023
HGNC:177	Q03154
HGNC:24104	Q96HD9
HGNC:179	P07311
HGNC:180	P14621
HGNC:186	P00813
HGNC:1839	Q9NZK5
HGNC:30713	Q96M93
HGNC:30714	Q8NCV1
HGNC:31853	Q6DHV7
HGNC:198	Q99965
HGNC:214	Q9H2U9
HGNC:215	P78325
HGNC:216	Q13443
HGNC:188	O14672
HGNC:189	O75078
HGNC:190	O43184
HGNC:193	Q13444
HGNC:195	P78536
HGNC:196	Q9Y3Q7
HGNC:197	Q9H013
HGNC:199	O43506
HGNC:200	Q9UKJ8
HGNC:201	Q9P0K1
HGNC:202	O75077
HGNC:206	Q9UKQ2
HGNC:207	Q9UKF5
HGNC:208	Q9UKF2
HGNC:15479	Q8TC27
HGNC:15478	Q9BZ11
HGNC:16299	O15204
HGNC:217	Q9UHI8
HGNC:218	O95450
HGNC:219	O15072
HGNC:220	O75173
HGNC:221	Q9UNA0
HGNC:222	Q9UKP5
HGNC:223	Q9UKP4
HGNC:224	Q9UP79
HGNC:13202	Q9P2N4
HGNC:13201	Q9H324
HGNC:14605	P58397
HGNC:1366	Q76LX8
HGNC:14899	Q8WXS8
HGNC:16305	Q8TE58
HGNC:17108	Q8TE57
HGNC:17109	Q8TE56
HGNC:17110	Q8TE60
HGNC:17111	Q8TE59
HGNC:17178	P59510
HGNC:14632	Q8N6G6
HGNC:14631	Q86TH1
HGNC:14633	P82987
HGNC:19706	Q6UY14
HGNC:27912	Q6ZMM2
HGNC:16486	O75689
HGNC:16487	Q9NPF8
HGNC:225	P55265
HGNC:226	P78563
HGNC:227	Q9NS39
HGNC:228	Q9BUB4
HGNC:21172	Q7Z6V5
HGNC:25151	Q96EY9
HGNC:19038	Q86TW2
HGNC:19039	Q7Z695
HGNC:21738	Q3MIX3
HGNC:232	Q08828
HGNC:233	Q08462
HGNC:234	O60266
HGNC:235	Q8NFM4
HGNC:236	O95622
HGNC:237	O43306
HGNC:238	P51828
HGNC:239	P40145
HGNC:240	O60503
HGNC:21285	Q96PN6
HGNC:241	P18509
HGNC:242	P41586
HGNC:243	P35611
HGNC:244	P35612
HGNC:245	Q9UEY8
HGNC:21212	Q8N7X0
HGNC:13838	Q86SQ6
HGNC:17849	Q96PE1
HGNC:13839	Q8IWK6
HGNC:943	O14514
HGNC:944	O60241
HGNC:945	O60242
HGNC:19893	Q6QNK2
HGNC:18651	Q7Z7M1
HGNC:3336	Q14246
HGNC:3337	Q9UHX3
HGNC:23647	Q9BY15
HGNC:1711	P48960
HGNC:18990	Q5T601
HGNC:18989	Q8IZF5
HGNC:19011	Q8IZF3
HGNC:19030	Q8IZF2
HGNC:4512	Q9Y653
HGNC:4516	Q8IZP9
HGNC:13728	Q86Y34
HGNC:18992	Q8IZF6
HGNC:19010	Q8IZF4
HGNC:13841	Q86SQ4
HGNC:19241	Q96K78
HGNC:20973	O94910
HGNC:18582	O95490
HGNC:20974	Q9HAR2
HGNC:20822	Q9HBW9
HGNC:17416	Q8WXG9
HGNC:249	P07327
HGNC:250	P00325
HGNC:251	P00326
HGNC:252	P08319
HGNC:253	P11766
HGNC:255	P28332
HGNC:256	P40394
HGNC:16354	Q8IWW8
HGNC:30576	Q9BV57
HGNC:28606	Q0VDE8
HGNC:13633	Q15848
HGNC:24040	Q96A54
HGNC:24041	Q86V24
HGNC:24043	Q15847
HGNC:15873	Q9GZN8
HGNC:257	P55263
HGNC:259	P35318
HGNC:28898	Q7Z4H4
HGNC:27293	C9JUS6
HGNC:15766	Q9H2P0
HGNC:23803	Q6IQ32
HGNC:23506	Q96SZ5
HGNC:262	P30542
HGNC:263	P29274
HGNC:264	P29275
HGNC:268	P0DMS8
HGNC:25250	Q9BRR6
HGNC:269	P54922
HGNC:21303	Q8NDY3
HGNC:30925	Q3LIE5
HGNC:21304	Q9NX46
HGNC:277	P35348
HGNC:278	P35368
HGNC:280	P25100
HGNC:281	P08913
HGNC:282	P18089
HGNC:283	P18825
HGNC:285	P08588
HGNC:286	P07550
HGNC:288	P13945
HGNC:15759	Q16186
HGNC:291	P30566
HGNC:20093	Q8N142
HGNC:292	P30520
HGNC:21214	Q96IZ2
HGNC:303	Q8IUX7
HGNC:24051	Q6ZN18
HGNC:25722	Q8WTP8
HGNC:24017	Q8N556
HGNC:26714	Q8TED9
HGNC:25901	Q8N4X5
HGNC:7137	P55196
HGNC:7135	P51825
HGNC:3776	P51816
HGNC:6473	P51826
HGNC:17869	Q9UHB7
HGNC:16411	Q8WV93
HGNC:315	Q9Y4W6
HGNC:316	P43652
HGNC:20910	Q63HM1
HGNC:317	P02771
HGNC:25951	Q6ULP2
HGNC:318	P20933
HGNC:16922	Q9UPQ3
HGNC:16921	Q99490
HGNC:16923	Q96P47
HGNC:23459	Q96P64
HGNC:23467	A6NIR3
HGNC:23466	Q5VW22
HGNC:23463	Q5VTM2
HGNC:26504	Q96MI9
HGNC:26296	Q5U5Z8
HGNC:27981	Q8NEM8
HGNC:25892	Q5VU57
HGNC:26147	Q8NDL9
HGNC:320	Q15109
HGNC:5175	P52594
HGNC:5177	O95081
HGNC:24684	Q8N302
HGNC:21869	Q53H12
HGNC:321	P35573
HGNC:18407	Q9BSE5
HGNC:33784	Q6ZNB7
HGNC:3262	Q9UL18
HGNC:3263	Q9UKV8
HGNC:18421	Q9H9G7
HGNC:18424	Q9HCK5
HGNC:324	Q99943
HGNC:325	O15120
HGNC:326	Q9NRZ7
HGNC:20885	Q9NRZ5
HGNC:20886	Q9NUQ2
HGNC:327	O00116
HGNC:328	O95994
HGNC:24167	Q8TD06
HGNC:329	O00468
HGNC:330	O00253
HGNC:333	P01019
HGNC:17258	Q9UPW5
HGNC:336	P30556
HGNC:338	P50052
HGNC:13539	Q6RW13
HGNC:341	P21549
HGNC:14412	Q9BYV1
HGNC:24618	Q8WYP5
HGNC:343	P23526
HGNC:344	O43865
HGNC:22204	Q96HN2
HGNC:25230	Q5TGY3
HGNC:21575	Q8N157
HGNC:347	Q09666
HGNC:20125	Q8IVF2
HGNC:348	P35869
HGNC:346	A9YTQ3
HGNC:1189	O95433
HGNC:349	P02765
HGNC:18075	Q9NZD4
HGNC:13203	Q9GZX7
HGNC:25761	Q96BJ3
HGNC:352	P55008
HGNC:28904	Q9BQI0
HGNC:8768	O95831
HGNC:21411	Q9BRQ8
HGNC:26398	Q96NN9
HGNC:21607	Q9NVV5
HGNC:357	O14862
HGNC:10648	Q12904
HGNC:20609	Q13155
HGNC:358	O00170
HGNC:359	Q9NZN9
HGNC:360	O43918
HGNC:30801	Q9UKB5
HGNC:37284	C9J069
HGNC:20250	Q96IF1
HGNC:361	P00568
HGNC:362	P54819
HGNC:17376	Q9UIJ7
HGNC:363	P27144
HGNC:365	Q9Y6K8
HGNC:49151	Q9Y3D8
HGNC:20091	Q96M32
HGNC:26526	Q96MA6
HGNC:33814	Q5TCS8
HGNC:28285	P0CW23
HGNC:367	Q92667
HGNC:373	O75969
HGNC:374	Q5JQC9
HGNC:375	P24588
HGNC:376	Q13023
HGNC:377	O43687|Q9P0M2
HGNC:378	O43823
HGNC:29857	Q9ULX6
HGNC:379	Q99996
HGNC:368	O43572
HGNC:369	Q9UKA4
HGNC:370	Q02952
HGNC:371	Q12802
HGNC:24061	Q86UN6
HGNC:18783	Q02040
HGNC:1170	Q9NQ31
HGNC:25744	Q9H9L7
HGNC:21407	Q53H80
HGNC:24108	Q7Z591
HGNC:28398	Q5T1N1
HGNC:380	P14550
HGNC:381	P15121
HGNC:382	O60218
HGNC:37281	C9JRZ8
HGNC:384	Q04828
HGNC:385	P52895
HGNC:386	P42330
HGNC:387	P17516
HGNC:23469	Q5T2L2
HGNC:388	P51857
HGNC:23437	Q96JD6
HGNC:389	O43488
HGNC:390	O95154
HGNC:24056	Q8NHP1
HGNC:391	P31749
HGNC:28426	Q96B36
HGNC:392	P31751
HGNC:393	Q9Y243
HGNC:16710	Q9H8T0
HGNC:395	P13716
HGNC:396	P13196
HGNC:397	P22557
HGNC:399	P02768
HGNC:400	Q13740
HGNC:402	P00352
HGNC:15472	O94788
HGNC:409	P47895
HGNC:407	P30837
HGNC:3978	O75891
HGNC:26777	Q3SY69
HGNC:404	P05091
HGNC:405	P30838
HGNC:403	P51648
HGNC:410	P43353
HGNC:411	P48448
HGNC:406	P30038
HGNC:408	P51649
HGNC:7179	Q02252
HGNC:877	P49419
HGNC:15471	Q9H2A2
HGNC:412	P49189
HGNC:28114	Q8IZ83
HGNC:9722	P54886
HGNC:414	P04075
HGNC:417	P05062
HGNC:418	P09972
HGNC:18294	Q9BT22
HGNC:37258	C9J202
HGNC:23159	Q9H553
HGNC:23056	Q92685
HGNC:20266	Q9Y673
HGNC:23157	Q9Y672
HGNC:23161	Q9BVK2
HGNC:15672	Q9H6U8
HGNC:23162	Q5BKT4
HGNC:31088	Q5I7T1
HGNC:32456	Q2TAA5
HGNC:19358	Q9BV10
HGNC:30881	Q9NP73
HGNC:28287	Q96F25
HGNC:427	Q9UM73
HGNC:33775	Q6UXT8
HGNC:27683	Q6UX46
HGNC:17911	Q13686
HGNC:32487	Q6NS38
HGNC:30141	Q96Q83
HGNC:21900	Q9NXW9
HGNC:25996	Q6P6C2
HGNC:28243	Q3KRA9
HGNC:21306	Q9BT30
HGNC:25189	Q96BT7
HGNC:17377	Q8N6M5
HGNC:428	Q8TCU4
HGNC:435	P09917
HGNC:436	P20292
HGNC:429	P18054
HGNC:430	O75342
HGNC:433	P16050
HGNC:434	O15296
HGNC:13743	Q9BYJ1
HGNC:441	P10696
HGNC:437	P09923
HGNC:20917	Q96QP1
HGNC:20565	Q86TB3
HGNC:17574	Q96L96
HGNC:438	P05186
HGNC:439	P05187
HGNC:443	Q96Q42
HGNC:20605	Q60I27
HGNC:1494	Q15699
HGNC:449	O95076
HGNC:450	Q9H161
HGNC:19071	Q86V81
HGNC:451	Q9UHK6
HGNC:452	Q9NP70
HGNC:453	P02760
HGNC:25990	Q9C0C7
HGNC:457	P17707
HGNC:28577	Q96NU7
HGNC:24262	Q9Y303
HGNC:461	Q99217
HGNC:462	Q99218
HGNC:26837	Q5JTC6
HGNC:26360	Q8N7J2
HGNC:26771	Q8N944
HGNC:463	Q9UKV5
HGNC:464	P03971
HGNC:465	Q16671
HGNC:20824	Q86WK6
HGNC:24073	Q86SJ2
HGNC:24075	Q86WK7
HGNC:467	Q9Y4X0
HGNC:28658	Q6DCA0
HGNC:14604	Q9BXJ7
HGNC:27281	Q8IY45
HGNC:17810	Q4VCS5
HGNC:17811	Q8IY63
HGNC:17812	Q9Y2J4
HGNC:468	P23109
HGNC:469	Q01433
HGNC:470	Q01432
HGNC:471	P49418
HGNC:473	P48728
HGNC:33188	Q6UX39
HGNC:474	P0DUB6
HGNC:475	P0DTE7
HGNC:476	P0DTE8
HGNC:477	P04746
HGNC:478	P19961
HGNC:22231	Q400G9
HGNC:28041	Q86W34
HGNC:19988	Q9H1A4
HGNC:19989	Q9UJX6
HGNC:19990	Q9UJX5
HGNC:15713	Q9UJX4
HGNC:17380	Q9UJX3
HGNC:24077	Q9UM13
HGNC:14452	Q9NYG5
HGNC:24540	Q9BS18
HGNC:24531	P60006
HGNC:26976	Q96DE5
HGNC:483	P03950
HGNC:19961	Q9UNK9
HGNC:30534	Q5VTE6
HGNC:484	Q15389
HGNC:485	O15123
HGNC:487	Q9Y264
HGNC:489	O95841
HGNC:490	Q9UKU9
HGNC:491	Q9Y5C1
HGNC:16039	Q9BY76
HGNC:19705	Q86XS5
HGNC:23140	Q8NI99
HGNC:24078	O43827
HGNC:24933	Q6UXH0
HGNC:40024	E9PGG2
HGNC:492	P16157
HGNC:493	Q01484
HGNC:494	Q12955
HGNC:26350	Q7Z5J8
HGNC:28002	Q495B1
HGNC:32525	A6NHY2
HGNC:15803	Q9NU02
HGNC:26766	Q8N957
HGNC:20763	Q9P2R3
HGNC:15492	Q9HCJ1
HGNC:24714	Q8IWZ3
HGNC:22215	Q9P2G1
HGNC:21027	Q8NFD2
HGNC:26812	Q8NAG6
HGNC:29101	Q86XL3
HGNC:20987	Q9P2S6
HGNC:25370	Q8IV38
HGNC:13208	Q9H9E1
HGNC:15819	Q15327
HGNC:495	Q9GZV1
HGNC:17280	Q9Y2G4
HGNC:18588	Q92527
HGNC:20096	Q96BM1
HGNC:20265	Q9NXR5
HGNC:21316	Q6UB99
HGNC:29135	Q6UB98
HGNC:21268	Q8IZ07
HGNC:26363	Q86YJ7
HGNC:25374	Q8N6S4
HGNC:27880	Q6ZTN6
HGNC:23471	Q6P6B7
HGNC:23575	O75179
HGNC:23643	Q8IVF6
HGNC:23644	A2A2Z9
HGNC:23665	Q5TYW2
HGNC:28321	Q5VYY1
HGNC:24470	Q86SG2
HGNC:29424	Q8TF21
HGNC:29186	Q9UPS8
HGNC:25310	Q96NW4
HGNC:29024	O15084
HGNC:27110	Q8N6D5
HGNC:17234	Q9BXX3
HGNC:24165	Q9BXX2
HGNC:35167	A7E2S9
HGNC:26853	Q8N7Z5
HGNC:13788	Q7Z3H0
HGNC:35240	A6NCL7
HGNC:27639	Q69YU3
HGNC:33736	A5PLL1
HGNC:33888	P0C6C1
HGNC:26323	Q8N283
HGNC:24079	A6QL64
HGNC:29333	Q8N2N9
HGNC:32946	Q5JPF3
HGNC:29593	Q7Z713
HGNC:28640	Q53RE8
HGNC:28233	Q6AI12
HGNC:26080	Q53H64
HGNC:26752	Q8N9B4
HGNC:25259	Q8N8A2
HGNC:24786	Q5TZF3
HGNC:27229	Q86W74
HGNC:25970	Q8WVL7
HGNC:29223	Q9ULJ7
HGNC:26614	Q8NB46
HGNC:25691	Q8N9V6
HGNC:25185	Q6NXT1
HGNC:25681	Q3KP44
HGNC:16217	Q9BZ19
HGNC:22467	A6NGH8
HGNC:35241	A6NC57
HGNC:40027	C9JTQ0
HGNC:42950	E5RJM6
HGNC:44669	B4E2M5
HGNC:20961	Q92625
HGNC:24600	Q7Z6G8
HGNC:29422	Q6ZW76
HGNC:26795	Q8N8V4
HGNC:26724	Q68DC2
HGNC:29642	A6NFN9
HGNC:25527	Q9H8Y5
HGNC:14082	Q9NQW6
HGNC:21625	Q5XXA6
HGNC:1183	Q9NQ90
HGNC:14004	Q9BYT9
HGNC:23837	Q32M45
HGNC:27337	Q75V66
HGNC:25240	Q4KMQ2
HGNC:31677	Q6IWH7
HGNC:29329	Q9HCE9
HGNC:20679	A1A5B4
HGNC:25519	Q9NW15
HGNC:6211	P23352
HGNC:13233	P39687
HGNC:16677	Q92688
HGNC:16676	O95626
HGNC:16673	Q9BTT0
HGNC:500	P15144
HGNC:14152	Q9BQD7
HGNC:21014	Q9H6X2
HGNC:21732	P58335
HGNC:27277	A6NF34
HGNC:533	P04083
HGNC:537	P07355
HGNC:33463	Q3ZCQ2
HGNC:541	P12429
HGNC:542	P09525
HGNC:543	P08758
HGNC:544	P08133
HGNC:545	P20073
HGNC:546	P13928
HGNC:23334	Q5VT79
HGNC:547	O76027
HGNC:534	Q9UJ72
HGNC:535	P50995
HGNC:536	P27216
HGNC:548	P28039
HGNC:80	P19801
HGNC:549	O75106
HGNC:550	Q16853
HGNC:1361	Q8N6M6
HGNC:553	Q06278
HGNC:28808	Q63HQ0
HGNC:554	Q10567
HGNC:555	O43747
HGNC:556	O75843
HGNC:13667	Q9BXS5
HGNC:558	Q9Y6Q5
HGNC:559	P61966
HGNC:560	P56377
HGNC:18971	Q96PC3
HGNC:561	O95782
HGNC:562	O94973
HGNC:563	P63010
HGNC:564	Q96CW1
HGNC:565	P53680
HGNC:566	O00203
HGNC:567	Q13367
HGNC:568	O14617
HGNC:569	Q9Y2T2
HGNC:570	P53677
HGNC:2013	Q92572
HGNC:571	P59780
HGNC:572	Q9Y6B7
HGNC:573	Q9UPM8
HGNC:574	O00189
HGNC:575	Q9Y587
HGNC:25104	Q2VPB7
HGNC:20192	Q9H0R1
HGNC:15875	Q9NUS5
HGNC:22197	O43299
HGNC:576	O14727
HGNC:578	Q02410
HGNC:579	Q99767
HGNC:580	O96018
HGNC:581	O00213
HGNC:17379	Q7Z5R6
HGNC:582	Q92870
HGNC:20708	O95704
HGNC:583	P25054
HGNC:24036	O95996
HGNC:15718	Q8J025
HGNC:26892	Q8NCL9
HGNC:584	P02743
HGNC:586	P13798
HGNC:48925	P0DMC3
HGNC:587	P27695
HGNC:17889	Q9UBZ4
HGNC:29509	Q96BI3
HGNC:24080	Q8WW43
HGNC:594	Q9BZZ5
HGNC:17581	Q96GX9
HGNC:28724	Q8IW19
HGNC:16665	Q9ULZ1
HGNC:339	P35414
HGNC:597	P51693
HGNC:598	Q06481
HGNC:13238	Q9HDC9
HGNC:600	P02647
HGNC:601	P02652
HGNC:602	P06727
HGNC:17288	Q6Q788
HGNC:603	P04114
HGNC:604	P41238
HGNC:605	Q9Y235
HGNC:17343	P31941
HGNC:17352	Q9UH17
HGNC:17353	Q9NRW3
HGNC:17354	Q96AK3
HGNC:17356	Q8IUX4
HGNC:17357	Q9HC16
HGNC:24100	Q6NTF7
HGNC:32152	Q8WW27
HGNC:24087	Q0VD83
HGNC:607	P02654
HGNC:609	P02655
HGNC:610	P02656
HGNC:611	P55056
HGNC:612	P05090
HGNC:613	P02649
HGNC:615	Q13790
HGNC:616	P02749
HGNC:618	O14791
HGNC:619	Q9BQE5
HGNC:14868	O95236
HGNC:14867	Q9BPW4
HGNC:14869	Q9BWW9
HGNC:14870	Q9BWW8
HGNC:25268	Q96LR9
HGNC:13916	O95445
HGNC:28727	Q9BUR5
HGNC:24009	Q6UXV4
HGNC:620	P05067
HGNC:622	Q92624
HGNC:24035	Q9UKG1
HGNC:18242	Q8NEU8
HGNC:626	P07741
HGNC:15984	Q7Z2E3
HGNC:633	P29972
HGNC:634	P41181
HGNC:636	Q92482
HGNC:637	P55087
HGNC:638	P55064
HGNC:639	Q13520
HGNC:640	O14520
HGNC:53895	A0A075B734
HGNC:642	O94778
HGNC:643	O43315
HGNC:16029	Q96PS8
HGNC:19940	Q8NBQ7
HGNC:19941	Q8IXF9
HGNC:6096	A6NM10
HGNC:29513	O60306
HGNC:644	P10275
HGNC:646	P10398
HGNC:16925	Q96P48
HGNC:16924	Q8WZ64
HGNC:24097	Q8WWN8
HGNC:648	Q7LC44
HGNC:649	P48444
HGNC:651	P15514
HGNC:20363	O15033
HGNC:652	P84077
HGNC:654	P61204
HGNC:655	P18085
HGNC:658	P84085
HGNC:659	P62330
HGNC:15852	Q8N6T3
HGNC:13504	Q8N6H7
HGNC:661	Q9NP61
HGNC:15772	Q9Y6D6
HGNC:15853	Q9Y6D5
HGNC:21213	Q5TH69
HGNC:21496	P53367
HGNC:17160	P53365
HGNC:662	Q13795
HGNC:663	P05089
HGNC:664	P78540
HGNC:30146	A6NJG6
HGNC:25482	Q9NWB6
HGNC:673	Q07960
HGNC:674	P98171
HGNC:675	Q13017
HGNC:676	O43182
HGNC:677	P85298
HGNC:14130	Q9BRR9
HGNC:26099	A1A4S6
HGNC:15783	Q6P4F7
HGNC:15782	Q3KRB8
HGNC:16348	Q8IWW6
HGNC:21030	Q53QZ3
HGNC:18239	Q68EM7
HGNC:21035	Q8N392
HGNC:23724	Q14CB8
HGNC:18357	Q9P2F6
HGNC:23725	Q5T5U3
HGNC:30320	Q7Z5H3
HGNC:29293	Q9P227
HGNC:25361	Q8N264
HGNC:28951	P42331
HGNC:17073	Q9UNA1
HGNC:31813	Q6ZUM4
HGNC:25509	Q9P2N2
HGNC:30207	Q52LW3
HGNC:27414	Q7Z6I6
HGNC:29216	Q2M1Z3
HGNC:17399	A7KAX9
HGNC:23085	O14559
HGNC:4591	Q9NRY4
HGNC:26388	Q6ZRI8
HGNC:29351	Q9C0H5
HGNC:16226	Q5TG30
HGNC:26545	A6NI28
HGNC:29096	Q17R89
HGNC:17102	Q92619
HGNC:678	P52565
HGNC:679	P52566
HGNC:680	Q99819
HGNC:681	Q92888
HGNC:682	Q92974
HGNC:683	Q9NR81
HGNC:684	Q9NR80
HGNC:13209	Q12774
HGNC:685	Q15052
HGNC:15607	Q14155
HGNC:14561	O43307
HGNC:14103	O15013
HGNC:25540	Q9HCE6
HGNC:14580	O15085
HGNC:14193	Q9NZN5
HGNC:15590	O94989
HGNC:15515	Q5VV41
HGNC:21726	Q96PE2
HGNC:17090	Q6ZSZ5
HGNC:26604	Q8IW93
HGNC:30275	Q86VW2
HGNC:24490	Q96DR7
HGNC:30322	Q8N1W1
HGNC:37252	A8MVX0
HGNC:33846	A5YM69
HGNC:34430	A1IGU5
HGNC:25968	Q9NXL2
HGNC:25909	Q8N4T4
HGNC:25516	Q8TER5
HGNC:11110	O14497
HGNC:18040	Q8NFD5
HGNC:18037	Q68CP9
HGNC:3031	Q99856
HGNC:14350	Q8IVW6
HGNC:21209	A6NKF2
HGNC:9885	P29374
HGNC:15550	Q4LE39
HGNC:17361	Q03989
HGNC:17362	Q14865
HGNC:689	Q9Y4X5
HGNC:690	O95376
HGNC:692	P40616
HGNC:693	P36404
HGNC:17146	Q9Y2Y0
HGNC:694	P36405
HGNC:695	P40617
HGNC:698	P56559
HGNC:656	P49703
HGNC:696	Q9Y689
