gene_symbol	hgnc_id	omim_disease_id	omim_title	omim_disease_description	omim_description_original	omim_all_criteria_include	omim_molecular_basis_known	omim_type_include	omim_id_include	omim_disease_description_somatic_response_include	gene_include
TRPV4	HGNC:18083	617383	AVASCULAR NECROSIS OF FEMORAL HEAD, PRIMARY, 2	?Avascular necrosis of femoral head, primary, 2	?Avascular necrosis of femoral head, primary, 2, 617383 (3)	n	y	n	y	y	y
CLDN2	HGNC:2041	301060	AZOOSPERMIA, OBSTRUCTIVE, WITH NEPHROLITHIASIS	?Azoospermia, obstructive, with nephrolithiasis	?Azoospermia, obstructive, with nephrolithiasis, 301060 (3)	n	y	n	y	y	y
TRIM32	HGNC:16380	615988	BARDET-BIEDL SYNDROME 11	?Bardet-Biedl syndrome 11	?Bardet-Biedl syndrome 11, 615988 (3)	n	y	n	y	y	y
CEP290	HGNC:29021	615991	BARDET-BIEDL SYNDROME 14	?Bardet-Biedl syndrome 14	?Bardet-Biedl syndrome 14, 615991 (3)	n	y	n	y	y	y
WDPCP	HGNC:28027	615992	BARDET-BIEDL SYNDROME 15	?Bardet-Biedl syndrome 15	?Bardet-Biedl syndrome 15, 615992 (3)	n	y	n	y	y	y
BBIP1	HGNC:28093	615995	BARDET-BIEDL SYNDROME 18	?Bardet-Biedl syndrome 18	?Bardet-Biedl syndrome 18, 615995 (3)	n	y	n	y	y	y
LAMA5	HGNC:6485	620076	BENT BONE DYSPLASIA SYNDROME 2	?Bent bone dysplasia syndrome 2	?Bent bone dysplasia syndrome 2, 620076 (3)	n	y	n	y	y	y
SLC10A2	HGNC:10906	613291	BILE ACID MALABSORPTION, PRIMARY, 1	?Bile acid malabsorption, primary, 1	?Bile acid malabsorption, primary, 1, 613291 (3)	n	y	n	y	y	y
SLC51B	HGNC:29956	619481	BILE ACID MALABSORPTION, PRIMARY, 2	?Bile acid malabsorption, primary, 2	?Bile acid malabsorption, primary, 2, 619481 (3)	n	y	n	y	y	y
ABCD3	HGNC:67	616278	BILE ACID SYNTHESIS DEFECT, CONGENITAL, 5	?Bile acid synthesis defect, congenital, 5	?Bile acid synthesis defect, congenital, 5, 616278 (3)	n	y	n	y	y	y
RASGRP2	HGNC:9879	615888	BLEEDING DISORDER, PLATELET-TYPE, 18	?Bleeding disorder, platelet-type, 18	?Bleeding disorder, platelet-type, 18, 615888 (3)	n	y	n	y	y	y
PRKACG	HGNC:9382	616176	BLEEDING DISORDER, PLATELET-TYPE, 19	?Bleeding disorder, platelet-type, 19	?Bleeding disorder, platelet-type, 19, 616176 (3)	n	y	n	y	y	y
EPHB2	HGNC:3393	618462	BLEEDING DISORDER, PLATELET-TYPE, 22	?Bleeding disorder, platelet-type, 22	?Bleeding disorder, platelet-type, 22, 618462 (3)	n	y	n	y	y	y
MDM4	HGNC:6974	618849	BONE MARROW FAILURE SYNDROME 6	?Bone marrow failure syndrome 6	?Bone marrow failure syndrome 6, 618849 (3)	n	y	n	y	y	y
HOXD13	HGNC:5136	610713	BRACHYDACTYLY-SYNDACTYLY SYNDROME	?Brachydactyly-syndactyly syndrome	?Brachydactyly-syndactyly syndrome, 610713 (3)	n	y	n	y	y	y
KIF15	HGNC:17273	619981	BRADDOCK-CAREY SYNDROME 2	?Braddock-Carey syndrome 2	?Braddock-Carey syndrome 2, 619981 (3)	n	y	n	y	y	y
PTPRF	HGNC:9670	616001	BREASTS AND/OR NIPPLES, APLASIA OR HYPOPLASIA OF, 2	?Breasts and/or nipples, aplasia or hypoplasia of, 2	?Breasts and/or nipples, aplasia or hypoplasia of, 2, 616001 (3)	n	y	n	y	y	y
KCNE3	HGNC:6243	613119	BRUGADA SYNDROME 6	?Brugada syndrome 6	?Brugada syndrome 6, 613119 (3)	n	y	n	y	y	y
RPGRIP1L	HGNC:29168	619113	COACH SYNDROME 3	?COACH syndrome 3	?COACH syndrome 3, 619113 (3)	n	y	n	y	y	y
BHLHA9	HGNC:35126	607539	CAMPTOSYNPOLYDACTYLY, COMPLEX	?Camptosynpolydactyly, complex	?Camptosynpolydactyly, complex, 607539 (3)	n	y	n	y	y	y
SASH1	HGNC:19182	618373	CANCER, ALOPECIA, PIGMENT DYSCRASIA, ONYCHODYSTROPHY, AND KERATODERMA	?Cancer, alopecia, pigment dyscrasia, onychodystrophy, and keratoderma	?Cancer, alopecia, pigment dyscrasia, onychodystrophy, and keratoderma, 618373 (3)	n	y	n	y	y	y
IL17F	HGNC:16404	613956	CANDIDIASIS, FAMILIAL, 6	?Candidiasis, familial, 6, autosomal dominant	?Candidiasis, familial, 6, autosomal dominant, 613956 (3)	n	y	n	y	y	y
TRAF3IP2	HGNC:1343	615527	CANDIDIASIS, FAMILIAL, 8	?Candidiasis, familial, 8	?Candidiasis, familial, 8, 615527 (3)	n	y	n	y	y	y
EYA4	HGNC:3522	605362	CARDIOMYOPATHY, DILATED, 1J	?Cardiomyopathy, dilated, 1J	?Cardiomyopathy, dilated, 1J, 605362 (3)	n	y	n	y	y	y
CSRP3	HGNC:2472	607482	CARDIOMYOPATHY, DILATED, 1M	?Cardiomyopathy, dilated, 1M	?Cardiomyopathy, dilated, 1M, 607482 (3)	n	y	n	y	y	y
TNNI3	HGNC:11947	611880	CARDIOMYOPATHY, DILATED, 2A	?Cardiomyopathy, dilated, 2A	?Cardiomyopathy, dilated, 2A, 611880 (3)	n	y	n	y	y	y
GATAD1	HGNC:29941	614672	CARDIOMYOPATHY, DILATED, 2B	?Cardiomyopathy, dilated, 2B	?Cardiomyopathy, dilated, 2B, 614672 (3)	n	y	n	y	y	y
GET3	HGNC:752	620203	CARDIOMYOPATHY, DILATED, 2H	?Cardiomyopathy, dilated, 2H	?Cardiomyopathy, dilated, 2H, 620203 (3)	n	y	n	y	y	y
KIF20A	HGNC:9787	619433	CARDIOMYOPATHY, FAMILIAL RESTRICTIVE, 6	?Cardiomyopathy, familial restrictive, 6	?Cardiomyopathy, familial restrictive, 6, 619433 (3)	n	y	n	y	y	y
MYMX	HGNC:52391	619941	CAREY-FINEMAN-ZITER SYNDROME 2	?Carey-Fineman-Ziter syndrome 2	?Carey-Fineman-Ziter syndrome 2, 619941 (3)	n	y	n	y	y	y
CASP8	HGNC:1509	607271	CASPASE 8 DEFICIENCY	?Caspase 8 lymphadenopathy syndrome	?Caspase 8 lymphadenopathy syndrome, 607271 (3)	n	y	n	y	y	y
WFS1	HGNC:12762	116400	CATARACT 41	?Cataract 41	?Cataract 41, 116400 (3)	n	y	n	y	y	y
CRYBA2	HGNC:2395	115900	CATARACT 42	?Cataract 42	?Cataract 42, 115900 (3)	n	y	n	y	y	y
UNC45B	HGNC:14304	616279	CATARACT 43	?Cataract 43	?Cataract 43, 616279 (3)	n	y	n	y	y	y
SIPA1L3	HGNC:23801	616851	CATARACT 45	?Cataract 45	?Cataract 45, 616851 (3)	n	y	n	y	y	y
PANK4	HGNC:19366	619593	CATARACT 49	?Cataract 49	?Cataract 49, 619593 (3)	n	y	n	y	y	y
AXIN1	HGNC:903	607864	CAUDAL DUPLICATION ANOMALY	?Caudal duplication anomaly	?Caudal duplication anomaly, 607864 (3)	n	y	n	y	y	y
MYO1H	HGNC:13879	619482	CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL, 2, AND AUTONOMIC DYSFUNCTION	?Central hypoventilation syndrome, congenital, 2, and autonomic dysfunction	?Central hypoventilation syndrome, congenital, 2, and autonomic dysfunction, 619482 (3)	n	y	n	y	y	y
LBX1	HGNC:16960	619483	CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL, 3	?Central hypoventilation syndrome, congenital, 3	?Central hypoventilation syndrome, congenital, 3, 619483 (3)	n	y	n	y	y	y
CCDC78	HGNC:14153	614807	MYOPATHY, CENTRONUCLEAR, 4	?Centronuclear myopathy 4	?Centronuclear myopathy 4, 614807 (3)	n	y	n	y	y	y
ATP8A2	HGNC:13533	615268	CEREBELLAR ATAXIA, IMPAIRED INTELLECTUAL DEVELOPMENT, AND DYSEQUILIBRIUM SYNDROME 4	?Cerebellar ataxia, impaired intellectual development, and dysequilibrium syndrome 4	?Cerebellar ataxia, impaired intellectual development, and dysequilibrium syndrome 4, 615268 (3)	n	y	n	y	y	y
ERCC2	HGNC:3434	610756	CEREBROOCULOFACIOSKELETAL SYNDROME 2	?Cerebrooculofacioskeletal syndrome 2	?Cerebrooculofacioskeletal syndrome 2, 610756 (3)	n	y	n	y	y	y
PDK3	HGNC:8811	300905	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 6	?Charcot-Marie-Tooth disease, X-linked dominant, 6	?Charcot-Marie-Tooth disease, X-linked dominant, 6, 300905 (3)	n	y	n	y	y	y
JPH1	HGNC:14201	607831	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2K	?Charcot-Marie-Tooth disease, axonal, autosomal dominant, type 2K	?Charcot-Marie-Tooth disease, axonal, autosomal dominant, type 2K, 607831 (3)	n	y	n	y	y	y
DHTKD1	HGNC:23537	615025	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2Q	?Charcot-Marie-Tooth disease, axonal, type 2Q	?Charcot-Marie-Tooth disease, axonal, type 2Q, 615025 (3)	n	y	n	y	y	y
NAGLU	HGNC:7632	616491	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2V	?Charcot-Marie-Tooth disease, axonal, type 2V	?Charcot-Marie-Tooth disease, axonal, type 2V, 616491 (3)	n	y	n	y	y	y
KARS1	HGNC:6215	613641	CHARCOT-MARIE-TOOTH DISEASE, RECESSIVE INTERMEDIATE B	?Charcot-Marie-Tooth disease, recessive intermediate, B	?Charcot-Marie-Tooth disease, recessive intermediate, B, 613641 (3)	n	y	n	y	y	y
PNKP	HGNC:9154	605589	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2B2	?Charcot-Marie-Tooth disease, type 2B2	?Charcot-Marie-Tooth disease, type 2B2, 605589 (3)	n	y	n	y	y	y
SAMHD1	HGNC:15925	614415	CHILBLAIN LUPUS 2	?Chilblain lupus 2	?Chilblain lupus 2, 614415 (3)	n	y	n	y	y	y
SEMA7A	HGNC:10741	619874	CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 11	?Cholestasis, progressive familial intrahepatic, 11	?Cholestasis, progressive familial intrahepatic, 11, 619874 (3)	n	y	n	y	y	y
SLC51A	HGNC:29955	619484	CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 6	?Cholestasis, progressive familial intrahepatic, 6	?Cholestasis, progressive familial intrahepatic, 6, 619484 (3)	n	y	n	y	y	y
HDAC6	HGNC:14064	300863	CHONDRODYSPLASIA WITH PLATYSPONDYLY, DISTINCTIVE BRACHYDACTYLY, HYDROCEPHALY, AND MICROPHTHALMIA	?Chondrodysplasia with platyspondyly, distinctive brachydactyly, hydrocephaly, and microphthalmia	?Chondrodysplasia with platyspondyly, distinctive brachydactyly, hydrocephaly, and microphthalmia, 300863 (3)	n	y	n	y	y	y
