ModelID,PatientID,CellLineName,StrippedCellLineName,Age,SourceType,SangerModelID,RRID,DepmapModelType,GrowthPattern,MolecularSubtype,PrimaryOrMetastasis,SampleCollectionSite,Sex,SourceDetail,CatalogNumber,CCLEName,COSMICID,PublicComments,WTSIMasterCellID,OncotreeCode,OncotreeSubtype,OncotreePrimaryDisease,OncotreeLineage
ACH-000072,PT-yx4h8S,MEG-01,MEG01,55.0,Commercial,SIDM00526,CVCL_0425,CMLBCRABL1,Unknown,,,bone_marrow,Male,ATCC,,MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,908126.0,,1263.0,CMLBCRABL1,"Chronic Myeloid Leukemia, BCR-ABL1+",Myeloproliferative Neoplasms,Myeloid
ACH-000073,PT-wktVrL,GRANTA-519,GRANTA519,58.0,Commercial,SIDM01058,CVCL_1818,MCL,Unknown,,Primary,haematopoietic_and_lymphoid_tissue,Female,DSMZ,,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1303897.0,,1776.0,MCL,Mantle Cell Lymphoma,Non-Hodgkin Lymphoma,Lymphoid
ACH-000074,PT-FJahu6,KU812,KU812,38.0,Commercial,SIDM00308,CVCL_0379,CML,Unknown,,,haematopoietic_and_lymphoid_tissue,Male,ATCC,,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907311.0,,598.0,CML,Chronic Myelogenous Leukemia,Myeloproliferative Neoplasms,Myeloid
ACH-000075,PT-59c3mE,U-87 MG,U87MG,44.0,Commercial,SIDM01189,CVCL_0022,GB,Adherent,,Primary,central_nervous_system,Male,ATCC,,U87MG_CENTRAL_NERVOUS_SYSTEM,687590.0,,549.0,GB,Glioblastoma,Diffuse Glioma,CNS/Brain
ACH-000076,PT-Ugji7b,NCO2,NCO2,35.0,Commercial,,CVCL_3043,CML,Unknown,,,haematopoietic_and_lymphoid_tissue,Female,HSRRB,,NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,CML,Chronic Myelogenous Leukemia,Myeloproliferative Neoplasms,Myeloid
ACH-000077,PT-brIUSU,MJ,MJ,50.0,Commercial,,CVCL_1414,MTNN,Unknown,,,haematopoietic_and_lymphoid_tissue,Male,ATCC,,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,MTNN,Mature T and NK Neoplasms,Non-Hodgkin Lymphoma,Lymphoid
ACH-000078,PT-Vot01h,MHH-NB-11,MHHNB11,4.0,Commercial,SIDM00387,CVCL_1412,NBL,Unknown,MYCN_amp,Metastatic,autonomic_ganglia,Male,DSMZ,,MHHNB11_AUTONOMIC_GANGLIA,908135.0,,1818.0,NBL,Neuroblastoma,Neuroblastoma,Peripheral Nervous System
ACH-000079,PT-5wqkwI,TE 125.T,TE125T,1.0,Commercial,,CVCL_1740,ZFIBSOF,Unknown,,,fibroblast,Female,ATCC,,TE125T_FIBROBLAST,,,,,"Fibroblast, Soft Tissue",Non-Cancerous,Fibroblast
ACH-000080,PT-c6Ag34,BDCM,BDCM,,Commercial,,CVCL_4613,AMOL,Unknown,,,haematopoietic_and_lymphoid_tissue,Male,ATCC,,BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,AMOL,Acute Monoblastic/Monocytic Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000081,PT-OtgTTm,GDM-1,GDM1,66.0,Commercial,SIDM01057,CVCL_1230,AML,Suspension,,,haematopoietic_and_lymphoid_tissue,Female,ATCC,,GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,906870.0,,164.0,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000082,PT-noCCE4,"G-292, clone A141B1",G292CLONEA141B1,9.0,Commercial,SIDM00858,CVCL_2909,OS,Unknown,,Primary,bone,Female,ATCC,,G292CLONEA141B1_BONE,1290807.0,,661.0,OS,Osteosarcoma,Osteosarcoma,Bone
ACH-000083,PT-BMJ8bq,Hs 281.T,HS281T,37.0,Commercial,,CVCL_0715,ZFIBBRE,Unknown,,,fibroblast,Female,ATCC,,HS281T_FIBROBLAST,,,,,"Fibroblast, Breast",Non-Cancerous,Fibroblast
ACH-000084,PT-S6ty7D,MUTZ-3,MUTZ3,29.0,Commercial,,CVCL_1433,AMLGATA2MECOM,Unknown,,,haematopoietic_and_lymphoid_tissue,Male,DSMZ,,MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,AMLGATA2MECOM,"AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM",Acute Myeloid Leukemia,Myeloid
ACH-000085,PT-FnO2p8,T3M-4,T3M4,64.0,Commercial,,CVCL_4056,PAAD,Unknown,,Primary,lymph_node,Male,RIKEN,,T3M4_PANCREAS,,,,PAAD,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Pancreas
ACH-000086,PT-nZJ0Fu,ACC-MESO-1,ACCMESO1,61.0,Commercial,,CVCL_5113,PLEMESO,Unknown,,,pleura,Female,RIKEN,,ACCMESO1_PLEURA,,,,PLEMESO,"Pleural Mesothelioma, Epithelioid Type",Pleural Mesothelioma,Pleura
ACH-000087,PT-VA04Md,SK-ES-1,SKES1,18.0,Commercial,SIDM01111,CVCL_0627,ES,Unknown,EWS_FLI,Primary,bone,Male,ATCC,,SKES1_BONE,684072.0,,41.0,ES,Ewing Sarcoma,Ewing Sarcoma,Bone
ACH-000088,PT-fmS8rl,,HS172T,50.0,Commercial,,CVCL_0660,ZFIBURT,Unknown,,,fibroblast,Male,ATCC,,HS172T_FIBROBLAST,,,,,"Fibroblast, Urinary Tract",Non-Cancerous,Fibroblast
