hgnc_id	uniprot_id	class_id	class_term
HGNC:55919	A0A1W2PPK0	PC00264	gene-specific transcriptional regulator
HGNC:55919	A0A1W2PPK0	PC00116	helix-turn-helix transcription factor
HGNC:53857	A0A1W2PPL8	PC00259	general transcription factor
HGNC:53857	A0A1W2PPL8	PC00171	nucleic acid metabolism protein
HGNC:53857	A0A1W2PPL8	PC00031	RNA metabolism protein
HGNC:51815	A0A1W2PPM1	PC00119	homeodomain transcription factor
HGNC:51815	A0A1W2PPM1	PC00218	DNA-binding transcription factor
HGNC:51815	A0A1W2PPM1	PC00264	gene-specific transcriptional regulator
HGNC:51815	A0A1W2PPM1	PC00116	helix-turn-helix transcription factor
HGNC:53855	A0A1W2PPW3	PC00259	general transcription factor
HGNC:53855	A0A1W2PPW3	PC00171	nucleic acid metabolism protein
HGNC:53855	A0A1W2PPW3	PC00031	RNA metabolism protein
HGNC:53854	A0A1W2PQ09	PC00259	general transcription factor
HGNC:53854	A0A1W2PQ09	PC00171	nucleic acid metabolism protein
HGNC:53854	A0A1W2PQ09	PC00031	RNA metabolism protein
HGNC:53894	A0A1W2PQ73	PC00246	winged helix/forkhead transcription factor
HGNC:53894	A0A1W2PQ73	PC00218	DNA-binding transcription factor
HGNC:53894	A0A1W2PQ73	PC00264	gene-specific transcriptional regulator
HGNC:53894	A0A1W2PQ73	PC00116	helix-turn-helix transcription factor
HGNC:22571	A0A1W2PQL4	PC00218	DNA-binding transcription factor
HGNC:22571	A0A1W2PQL4	PC00264	gene-specific transcriptional regulator
HGNC:53648	A0A1W2PR48	PC00217	transcription cofactor
HGNC:53648	A0A1W2PR48	PC00264	gene-specific transcriptional regulator
HGNC:53852	A0A1W2PR64	PC00259	general transcription factor
HGNC:53852	A0A1W2PR64	PC00171	nucleic acid metabolism protein
HGNC:53852	A0A1W2PR64	PC00031	RNA metabolism protein
HGNC:54201	A0A1W2PRP0	PC00246	winged helix/forkhead transcription factor
HGNC:54201	A0A1W2PRP0	PC00218	DNA-binding transcription factor
HGNC:54201	A0A1W2PRP0	PC00264	gene-specific transcriptional regulator
HGNC:54201	A0A1W2PRP0	PC00116	helix-turn-helix transcription factor
HGNC:53846	A0A1W2PRV1	PC00259	general transcription factor
HGNC:53846	A0A1W2PRV1	PC00171	nucleic acid metabolism protein
HGNC:53846	A0A1W2PRV1	PC00031	RNA metabolism protein
HGNC:48778	A0A2R8Y4L2	PC00148	RNA splicing factor
HGNC:48778	A0A2R8Y4L2	PC00171	nucleic acid metabolism protein
HGNC:48778	A0A2R8Y4L2	PC00031	RNA metabolism protein
HGNC:48778	A0A2R8Y4L2	PC00147	RNA processing factor
HGNC:53833	A0A2R8Y619	PC00118	histone
HGNC:53833	A0A2R8Y619	PC00077	chromatin/chromatin-binding, or -regulatory protein
HGNC:49760	A0A3B3IRV3	PC00224	translation initiation factor
HGNC:49760	A0A3B3IRV3	PC00223	translation factor
HGNC:49760	A0A3B3IRV3	PC00263	translational protein
HGNC:43972	A0A3B3IT33	PC00234	ubiquitin-protein ligase
HGNC:43972	A0A3B3IT33	PC00260	protein modifying enzyme
HGNC:53960	A0A3B3IU63	PC00118	histone
HGNC:53960	A0A3B3IU63	PC00077	chromatin/chromatin-binding, or -regulatory protein
HGNC:37472	A0A494C1R9	PC00077	chromatin/chromatin-binding, or -regulatory protein
HGNC:52681	A0A5F9ZHS7	PC00056	basic leucine zipper transcription factor
HGNC:52681	A0A5F9ZHS7	PC00218	DNA-binding transcription factor
HGNC:52681	A0A5F9ZHS7	PC00264	gene-specific transcriptional regulator
HGNC:15595	A0AV02	PC00258	secondary carrier transporter
HGNC:15595	A0AV02	PC00227	transporter
HGNC:30358	A0AV96	PC00031	RNA metabolism protein
HGNC:30358	A0AV96	PC00171	nucleic acid metabolism protein
HGNC:19044	A0AVI2	PC00151	membrane trafficking regulatory protein
HGNC:19044	A0AVI2	PC00150	membrane traffic protein
HGNC:25137	A0AVI4	PC00234	ubiquitin-protein ligase
HGNC:25137	A0AVI4	PC00260	protein modifying enzyme
HGNC:24727	A0AVK6	PC00259	general transcription factor
HGNC:24727	A0AVK6	PC00171	nucleic acid metabolism protein
HGNC:24727	A0AVK6	PC00031	RNA metabolism protein
HGNC:25581	A0AVT1	PC00234	ubiquitin-protein ligase
HGNC:25581	A0AVT1	PC00260	protein modifying enzyme
HGNC:51240	A0JP26	PC00150	membrane traffic protein
HGNC:19952	A0PG75	PC00227	transporter
HGNC:25832	A0PJE2	PC00092	dehydrogenase
HGNC:25832	A0PJE2	PC00262	metabolite interconversion enzyme
HGNC:25832	A0PJE2	PC00176	oxidoreductase
HGNC:23155	A0PJK1	PC00258	secondary carrier transporter
HGNC:23155	A0PJK1	PC00227	transporter
HGNC:25159	A0PJX4	PC00226	scaffold/adaptor protein
HGNC:22788	A0PJY2	PC00248	C2H2 zinc finger transcription factor
HGNC:22788	A0PJY2	PC00218	DNA-binding transcription factor
HGNC:22788	A0PJY2	PC00264	gene-specific transcriptional regulator
HGNC:22788	A0PJY2	PC00244	zinc finger transcription factor
HGNC:26099	A1A4S6	PC00257	GTPase-activating protein
HGNC:26099	A1A4S6	PC00022	G-protein modulator
HGNC:26099	A1A4S6	PC00095	protein-binding activity modulator
HGNC:21106	A1A5C7	PC00258	secondary carrier transporter
HGNC:21106	A1A5C7	PC00227	transporter
HGNC:33584	A1A5D9	PC00151	membrane trafficking regulatory protein
HGNC:33584	A1A5D9	PC00150	membrane traffic protein
HGNC:27016	A1KXE4	PC00161	myelin protein
HGNC:27016	A1KXE4	PC00211	structural protein
HGNC:26359	A1KZ92	PC00180	peroxidase
HGNC:26359	A1KZ92	PC00262	metabolite interconversion enzyme
HGNC:26359	A1KZ92	PC00176	oxidoreductase
HGNC:33482	A1L020	PC00031	RNA metabolism protein
HGNC:33482	A1L020	PC00171	nucleic acid metabolism protein
HGNC:6041	A1L0T0	PC00142	ligase
HGNC:6041	A1L0T0	PC00262	metabolite interconversion enzyme
HGNC:37269	A1L167	PC00234	ubiquitin-protein ligase
HGNC:37269	A1L167	PC00260	protein modifying enzyme
HGNC:34351	A1L170	PC00226	scaffold/adaptor protein
HGNC:33551	A1L188	PC00072	chaperone
HGNC:26292	A1L3X0	PC00042	acyltransferase
HGNC:26292	A1L3X0	PC00220	transferase
HGNC:26292	A1L3X0	PC00262	metabolite interconversion enzyme
HGNC:29625	A1L453	PC00203	serine protease
HGNC:29625	A1L453	PC00190	protease
HGNC:29625	A1L453	PC00260	protein modifying enzyme
HGNC:26641	A1L4H1	PC00203	serine protease
HGNC:26641	A1L4H1	PC00190	protease
HGNC:26641	A1L4H1	PC00260	protein modifying enzyme
HGNC:18024	A1L4K1	PC00234	ubiquitin-protein ligase
HGNC:18024	A1L4K1	PC00260	protein modifying enzyme
HGNC:21175	A2A288	PC00094	endoribonuclease
HGNC:21175	A2A288	PC00171	nucleic acid metabolism protein
HGNC:21175	A2A288	PC00031	RNA metabolism protein
HGNC:21188	A2A368	PC00226	scaffold/adaptor protein
HGNC:30184	A2A3K4	PC00195	protein phosphatase
HGNC:30184	A2A3K4	PC00260	protein modifying enzyme
HGNC:27413	A2AJT9	PC00171	nucleic acid metabolism protein
HGNC:23279	A2CJ06	PC00234	ubiquitin-protein ligase
HGNC:23279	A2CJ06	PC00260	protein modifying enzyme
HGNC:20193	A2PYH4	PC00009	DNA metabolism protein
HGNC:20193	A2PYH4	PC00171	nucleic acid metabolism protein
HGNC:24728	A2RTX5	PC00047	aminoacyl-tRNA synthetase
HGNC:24728	A2RTX5	PC00263	translational protein
HGNC:5018	A2RU54	PC00119	homeodomain transcription factor
HGNC:5018	A2RU54	PC00218	DNA-binding transcription factor
HGNC:5018	A2RU54	PC00264	gene-specific transcriptional regulator
HGNC:5018	A2RU54	PC00116	helix-turn-helix transcription factor
HGNC:21251	A2RUU4	PC00095	protein-binding activity modulator
HGNC:19576	A3KFT3	PC00197	transmembrane signal receptor
HGNC:6491	A4D0S4	PC00102	extracellular matrix protein
HGNC:37276	A4D126	PC00220	transferase
HGNC:37276	A4D126	PC00262	metabolite interconversion enzyme
HGNC:28042	A4D1B5	PC00095	protein-binding activity modulator
HGNC:34300	A4D1F6	PC00226	scaffold/adaptor protein
HGNC:24778	A4D1S0	PC00197	transmembrane signal receptor
HGNC:29211	A4D1T9	PC00203	serine protease
HGNC:29211	A4D1T9	PC00190	protease
HGNC:29211	A4D1T9	PC00260	protein modifying enzyme
HGNC:4577	A4D1Z8	PC00102	extracellular matrix protein
HGNC:22427	A4D256	PC00195	protein phosphatase
HGNC:22427	A4D256	PC00260	protein modifying enzyme
HGNC:37295	A4D2H0	PC00150	membrane traffic protein
HGNC:24307	A4FU01	PC00181	phosphatase
HGNC:24307	A4FU01	PC00262	metabolite interconversion enzyme
HGNC:24307	A4FU01	PC00121	hydrolase
HGNC:37275	A4FU28	PC00150	membrane traffic protein
HGNC:24801	A4FU69	PC00061	calmodulin-related
HGNC:24801	A4FU69	PC00060	calcium-binding protein
HGNC:14303	A4UGR9	PC00041	actin or actin-binding cytoskeletal protein
HGNC:14303	A4UGR9	PC00085	cytoskeletal protein
HGNC:33905	A5A3E0	PC00150	membrane traffic protein
HGNC:30388	A5D8T8	PC00090	defense/immunity protein
HGNC:26107	A5D8W1	PC00211	structural protein
HGNC:31963	A5LHX3	PC00190	protease
HGNC:31963	A5LHX3	PC00260	protein modifying enzyme
HGNC:9507	A5PKW4	PC00113	guanyl-nucleotide exchange factor
HGNC:9507	A5PKW4	PC00022	G-protein modulator
HGNC:9507	A5PKW4	PC00095	protein-binding activity modulator
HGNC:24005	A5X5Y0	PC00141	ligand-gated ion channel
HGNC:24005	A5X5Y0	PC00133	ion channel
HGNC:24005	A5X5Y0	PC00227	transporter
HGNC:7877	A5YKK6	PC00146	mRNA polyadenylation factor
HGNC:7877	A5YKK6	PC00171	nucleic acid metabolism protein
HGNC:7877	A5YKK6	PC00031	RNA metabolism protein
HGNC:7877	A5YKK6	PC00147	RNA processing factor
HGNC:29635	A6BM72	PC00102	extracellular matrix protein
HGNC:34527	A6H8M9	PC00057	cadherin
HGNC:34527	A6H8M9	PC00069	cell adhesion molecule
HGNC:13652	A6H8Y1	PC00259	general transcription factor
HGNC:13652	A6H8Y1	PC00171	nucleic acid metabolism protein
HGNC:13652	A6H8Y1	PC00031	RNA metabolism protein
HGNC:40051	A6NC05	PC00176	oxidoreductase
HGNC:40051	A6NC05	PC00262	metabolite interconversion enzyme
HGNC:44206	A6NC86	PC00226	scaffold/adaptor protein
HGNC:26757	A6NC98	PC00150	membrane traffic protein
HGNC:44406	A6NCC3	PC00150	membrane traffic protein
HGNC:34390	A6NCE7	PC00166	non-motor microtubule binding protein
HGNC:34390	A6NCE7	PC00085	cytoskeletal protein
HGNC:34390	A6NCE7	PC00157	microtubule or microtubule-binding cytoskeletal protein
HGNC:37146	A6NCK2	PC00234	ubiquitin-protein ligase
HGNC:37146	A6NCK2	PC00260	protein modifying enzyme
HGNC:44160	A6NCL2	PC00095	protein-binding activity modulator
HGNC:32940	A6NCS4	PC00119	homeodomain transcription factor
HGNC:32940	A6NCS4	PC00218	DNA-binding transcription factor
HGNC:32940	A6NCS4	PC00264	gene-specific transcriptional regulator
HGNC:32940	A6NCS4	PC00116	helix-turn-helix transcription factor
HGNC:31303	A6NCV1	PC00197	transmembrane signal receptor
HGNC:37175	A6NCW0	PC00081	cysteine protease
HGNC:37175	A6NCW0	PC00190	protease
HGNC:37175	A6NCW0	PC00260	protein modifying enzyme
HGNC:37176	A6NCW7	PC00081	cysteine protease
HGNC:37176	A6NCW7	PC00190	protease
HGNC:37176	A6NCW7	PC00260	protein modifying enzyme
HGNC:19575	A6ND48	PC00021	G-protein coupled receptor
HGNC:19575	A6ND48	PC00197	transmembrane signal receptor
HGNC:33856	A6ND91	PC00092	dehydrogenase
HGNC:33856	A6ND91	PC00262	metabolite interconversion enzyme
HGNC:33856	A6ND91	PC00176	oxidoreductase
HGNC:8909	A6NDG6	PC00181	phosphatase
HGNC:8909	A6NDG6	PC00262	metabolite interconversion enzyme
HGNC:8909	A6NDG6	PC00121	hydrolase
HGNC:31287	A6NDH6	PC00021	G-protein coupled receptor
HGNC:31287	A6NDH6	PC00197	transmembrane signal receptor
HGNC:42955	A6NDI0	PC00234	ubiquitin-protein ligase
HGNC:42955	A6NDI0	PC00260	protein modifying enzyme
HGNC:32206	A6NDK9	PC00150	membrane traffic protein
HGNC:31297	A6NDL8	PC00197	transmembrane signal receptor
HGNC:32205	A6NDN3	PC00150	membrane traffic protein
HGNC:27011	A6NDS4	PC00257	GTPase-activating protein
HGNC:27011	A6NDS4	PC00022	G-protein modulator
HGNC:27011	A6NDS4	PC00095	protein-binding activity modulator
HGNC:21427	A6NDV4	PC00069	cell adhesion molecule
HGNC:37237	A6NDY0	PC00224	translation initiation factor
HGNC:37237	A6NDY0	PC00223	translation factor
HGNC:37237	A6NDY0	PC00263	translational protein
HGNC:20148	A6NEE1	PC00226	scaffold/adaptor protein
HGNC:27256	A6NEF3	PC00041	actin or actin-binding cytoskeletal protein
HGNC:27256	A6NEF3	PC00085	cytoskeletal protein
HGNC:37229	A6NEM1	PC00041	actin or actin-binding cytoskeletal protein
HGNC:37229	A6NEM1	PC00085	cytoskeletal protein
HGNC:18257	A6NER0	PC00257	GTPase-activating protein
HGNC:18257	A6NER0	PC00022	G-protein modulator
HGNC:18257	A6NER0	PC00095	protein-binding activity modulator
HGNC:31290	A6NET4	PC00021	G-protein coupled receptor
HGNC:31290	A6NET4	PC00197	transmembrane signal receptor
HGNC:27277	A6NF34	PC00069	cell adhesion molecule
HGNC:31293	A6NF89	PC00197	transmembrane signal receptor
HGNC:44200	A6NFA1	PC00153	metalloprotease
HGNC:44200	A6NFA1	PC00190	protease
HGNC:44200	A6NFA1	PC00260	protein modifying enzyme
HGNC:33783	A6NFD8	PC00055	basic helix-loop-helix transcription factor
HGNC:33783	A6NFD8	PC00218	DNA-binding transcription factor
HGNC:33783	A6NFD8	PC00264	gene-specific transcriptional regulator
HGNC:34531	A6NFE3	PC00061	calmodulin-related
HGNC:34531	A6NFE3	PC00060	calcium-binding protein
HGNC:13843	A6NFI3	PC00248	C2H2 zinc finger transcription factor
HGNC:13843	A6NFI3	PC00218	DNA-binding transcription factor
HGNC:13843	A6NFI3	PC00264	gene-specific transcriptional regulator
HGNC:13843	A6NFI3	PC00244	zinc finger transcription factor
HGNC:33862	A6NFK2	PC00176	oxidoreductase
HGNC:33862	A6NFK2	PC00262	metabolite interconversion enzyme
HGNC:27097	A6NFN3	PC00148	RNA splicing factor
HGNC:27097	A6NFN3	PC00171	nucleic acid metabolism protein
HGNC:27097	A6NFN3	PC00147	RNA processing factor
HGNC:27097	A6NFN3	PC00031	RNA metabolism protein
HGNC:32166	A6NFQ7	PC00119	homeodomain transcription factor
HGNC:32166	A6NFQ7	PC00218	DNA-binding transcription factor
HGNC:32166	A6NFQ7	PC00264	gene-specific transcriptional regulator
HGNC:32166	A6NFQ7	PC00116	helix-turn-helix transcription factor
HGNC:35153	A6NFU0	PC00125	immunoglobulin superfamily cell adhesion molecule
HGNC:35153	A6NFU0	PC00069	cell adhesion molecule
HGNC:27080	A6NFU8	PC00081	cysteine protease
HGNC:27080	A6NFU8	PC00190	protease
HGNC:27080	A6NFU8	PC00260	protein modifying enzyme
HGNC:33867	A6NFY7	PC00072	chaperone
HGNC:43619	A6NG13	PC00220	transferase
HGNC:43619	A6NG13	PC00262	metabolite interconversion enzyme
HGNC:33733	A6NGA9	PC00085	cytoskeletal protein
HGNC:22004	A6NGB9	PC00041	actin or actin-binding cytoskeletal protein
HGNC:22004	A6NGB9	PC00085	cytoskeletal protein
HGNC:34294	A6NGD5	PC00248	C2H2 zinc finger transcription factor
HGNC:34294	A6NGD5	PC00218	DNA-binding transcription factor
HGNC:34294	A6NGD5	PC00264	gene-specific transcriptional regulator
HGNC:34294	A6NGD5	PC00244	zinc finger transcription factor
HGNC:31810	A6NGE4	PC00234	ubiquitin-protein ligase
HGNC:31810	A6NGE4	PC00260	protein modifying enzyme
HGNC:17785	A6NGE7	PC00089	decarboxylase
HGNC:17785	A6NGE7	PC00262	metabolite interconversion enzyme
HGNC:17785	A6NGE7	PC00144	lyase
HGNC:14663	A6NGJ6	PC00234	ubiquitin-protein ligase
HGNC:14663	A6NGJ6	PC00260	protein modifying enzyme
HGNC:34550	A6NGN9	PC00123	immunoglobulin
HGNC:34550	A6NGN9	PC00090	defense/immunity protein
HGNC:15196	A6NGY5	PC00197	transmembrane signal receptor
HGNC:15020	A6NH00	PC00197	transmembrane signal receptor
HGNC:33756	A6NH11	PC00219	transfer/carrier protein
HGNC:32237	A6NH21	PC00095	protein-binding activity modulator
HGNC:31111	A6NH57	PC00020	G-protein
HGNC:31111	A6NH57	PC00095	protein-binding activity modulator
HGNC:31271	A6NHA9	PC00197	transmembrane signal receptor
HGNC:1485	A6NHC0	PC00081	cysteine protease
HGNC:1485	A6NHC0	PC00190	protease
HGNC:1485	A6NHC0	PC00260	protein modifying enzyme
HGNC:33446	A6NHG4	PC00089	decarboxylase
HGNC:33446	A6NHG4	PC00262	metabolite interconversion enzyme
HGNC:33446	A6NHG4	PC00144	lyase
HGNC:31286	A6NHG9	PC00021	G-protein coupled receptor
HGNC:31286	A6NHG9	PC00197	transmembrane signal receptor
HGNC:23534	A6NHL2	PC00228	tubulin
HGNC:23534	A6NHL2	PC00085	cytoskeletal protein
HGNC:23534	A6NHL2	PC00157	microtubule or microtubule-binding cytoskeletal protein
HGNC:34071	A6NHN0	PC00103	extracellular matrix structural protein
HGNC:34071	A6NHN0	PC00102	extracellular matrix protein
HGNC:35458	A6NHQ2	PC00147	RNA processing factor
HGNC:35458	A6NHQ2	PC00171	nucleic acid metabolism protein
HGNC:35458	A6NHQ2	PC00031	RNA metabolism protein
HGNC:5019	A6NHT5	PC00119	homeodomain transcription factor
HGNC:5019	A6NHT5	PC00218	DNA-binding transcription factor
HGNC:5019	A6NHT5	PC00264	gene-specific transcriptional regulator
HGNC:5019	A6NHT5	PC00116	helix-turn-helix transcription factor
HGNC:37147	A6NI03	PC00234	ubiquitin-protein ligase
HGNC:37147	A6NI03	PC00260	protein modifying enzyme
HGNC:26545	A6NI28	PC00257	GTPase-activating protein
HGNC:26545	A6NI28	PC00022	G-protein modulator
HGNC:26545	A6NI28	PC00095	protein-binding activity modulator
HGNC:37096	A6NI47	PC00150	membrane traffic protein
HGNC:33778	A6NI61	PC00069	cell adhesion molecule
HGNC:16309	A6NI73	PC00124	immunoglobulin receptor superfamily
HGNC:16309	A6NI73	PC00090	defense/immunity protein
HGNC:37228	A6NI86	PC00041	actin or actin-binding cytoskeletal protein
HGNC:37228	A6NI86	PC00085	cytoskeletal protein
HGNC:16488	A6NIH7	PC00150	membrane traffic protein
HGNC:31299	A6NIJ9	PC00197	transmembrane signal receptor
HGNC:33455	A6NIM6	PC00227	transporter
HGNC:34298	A6NIV6	PC00226	scaffold/adaptor protein
HGNC:20964	A6NIX2	PC00217	transcription cofactor
HGNC:20964	A6NIX2	PC00264	gene-specific transcriptional regulator
HGNC:26328	A6NJ46	PC00119	homeodomain transcription factor
HGNC:26328	A6NJ46	PC00218	DNA-binding transcription factor
HGNC:26328	A6NJ46	PC00264	gene-specific transcriptional regulator
HGNC:26328	A6NJ46	PC00116	helix-turn-helix transcription factor
HGNC:26606	A6NJ78	PC00155	methyltransferase
HGNC:26606	A6NJ78	PC00220	transferase
HGNC:26606	A6NJ78	PC00262	metabolite interconversion enzyme
HGNC:30146	A6NJG6	PC00119	homeodomain transcription factor
HGNC:30146	A6NJG6	PC00218	DNA-binding transcription factor
HGNC:30146	A6NJG6	PC00264	gene-specific transcriptional regulator
HGNC:30146	A6NJG6	PC00116	helix-turn-helix transcription factor
HGNC:34246	A6NJL1	PC00248	C2H2 zinc finger transcription factor
HGNC:34246	A6NJL1	PC00218	DNA-binding transcription factor
HGNC:34246	A6NJL1	PC00264	gene-specific transcriptional regulator
HGNC:34246	A6NJL1	PC00244	zinc finger transcription factor
HGNC:33194	A6NJT0	PC00119	homeodomain transcription factor
HGNC:33194	A6NJT0	PC00218	DNA-binding transcription factor
HGNC:33194	A6NJT0	PC00264	gene-specific transcriptional regulator
HGNC:33194	A6NJT0	PC00116	helix-turn-helix transcription factor
HGNC:40034	A6NJW4	PC00197	transmembrane signal receptor
HGNC:1708	A6NJW9	PC00124	immunoglobulin receptor superfamily
HGNC:1708	A6NJW9	PC00090	defense/immunity protein
HGNC:31295	A6NJZ3	PC00197	transmembrane signal receptor
HGNC:32686	A6NK02	PC00234	ubiquitin-protein ligase
HGNC:32686	A6NK02	PC00260	protein modifying enzyme
HGNC:33904	A6NK06	PC00091	dehydratase
HGNC:33904	A6NK06	PC00262	metabolite interconversion enzyme
HGNC:33904	A6NK06	PC00144	lyase
HGNC:37216	A6NK58	PC00220	transferase
HGNC:37216	A6NK58	PC00262	metabolite interconversion enzyme
HGNC:13174	A6NK75	PC00218	DNA-binding transcription factor
HGNC:13174	A6NK75	PC00264	gene-specific transcriptional regulator
HGNC:33984	A6NK89	PC00226	scaffold/adaptor protein
HGNC:34549	A6NKC9	PC00090	defense/immunity protein
HGNC:23924	A6NKD2	PC00077	chromatin/chromatin-binding, or -regulatory protein
HGNC:30179	A6NKF1	PC00226	scaffold/adaptor protein
HGNC:21209	A6NKF2	PC00218	DNA-binding transcription factor
HGNC:21209	A6NKF2	PC00264	gene-specific transcriptional regulator
HGNC:8346	A6NKK0	PC00021	G-protein coupled receptor
HGNC:8346	A6NKK0	PC00197	transmembrane signal receptor
